filled system: honest_y1_p1_p1 halted shortlex, 499983 equations
derived                G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 0, 's': 0} -> True  G3(delta_L delta_R)=True   PASS
certified_v2.5.0       G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 2, 's': 7} -> False G3(delta_L delta_R)=True   FAIL
identity_seams         G1(seam conj. h -> h^-1)=False G2(pairing residuals)={'x': 0, 'y': 0, 'r': 2, 's': 7} -> False G3(delta_L delta_R)=True   FAIL
arr_AiBiAB             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 2, 's': 7} -> False G3(delta_L delta_R)=True   FAIL
arr_BiABAi             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 0, 's': 0} -> True  G3(delta_L delta_R)=True   PASS
arr_ABAiBi             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 2, 'y': 7, 'r': 4, 's': 8} -> False G3(delta_L delta_R)=True   FAIL
arr_BAiBiA             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 3, 'y': 8, 'r': 1, 's': 8} -> False G3(delta_L delta_R)=True   FAIL
arr_BiAiBA             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 1, 's': 9} -> False G3(delta_L delta_R)=True   FAIL
arr_AiBABi             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 2, 'y': 8, 'r': 3, 's': 8} -> False G3(delta_L delta_R)=True   FAIL
arr_BABiAi             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 3, 'y': 6, 'r': 1, 's': 6} -> False G3(delta_L delta_R)=True   FAIL
arr_ABiAiB             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 0, 's': 0} -> True  G3(delta_L delta_R)=True   PASS
eqn_ABiAiB             G1(seam conj. h -> h^-1)=True  G2(pairing residuals)={'x': 0, 'y': 0, 'r': 0, 's': 0} -> True  G3(delta_L delta_R)=False  FAIL
summary: {'derived (phi_0 seams, delta = A B^-1 A^-1 B)': 'PASS', 'certified v2.5.0 (phi_0 seams, delta = A^-1 B^-1 A B)': 'FAIL', 'identity seams (g_L = g_R, delta = A^-1 B^-1 A B)': 'FAIL', 'phi_0 seams, delta = AiBiAB': 'FAIL', 'phi_0 seams, delta = BiABAi': 'PASS', 'phi_0 seams, delta = ABAiBi': 'FAIL', 'phi_0 seams, delta = BAiBiA': 'FAIL', 'phi_0 seams, delta = BiAiBA': 'FAIL', 'phi_0 seams, delta = AiBABi': 'FAIL', 'phi_0 seams, delta = BABiAi': 'FAIL', 'phi_0 seams, delta = ABiAiB': 'PASS', 'phi_0 seams, delta = ABiAiB, relation delta_L = delta_R': 'FAIL'}
