S3: 3 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
S4: 9 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
A5: 19 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,7): 57 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
A6: 53 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,8): 142 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,11): 254 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,13): 495 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
A7: 917 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
S5: 58 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
SL(2,3): 16 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
D8: 3 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
Q8: 1 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
C3xS3: 12 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
S6: 159 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(3,3): 2424 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
M11: 6478 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,16): 939 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
PSL(2,17): 1132 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
A8: 7448 epis; honest cases surviving: 
[  ]; sealed cases surviving (must be none): [  ]
